Course Code,Crosslisting,Course Title,Session,Credit,Class Time,Instructor
FINN 8001 SEM 1,,Seminar in Islamic and Corporate Finance,16W,3,Th 10:30a-1:30p,Saad Azmat
FINN 8401 SEM 1,,"Seminar in Financial Intermediation and
Regualatory Framework",16W,3,T 12:30p-3:30p,Bushra Naqvi
FMG 5101 LEC 1,,Financial Statement Analysis and Value Creation,MS1,3,FSSu 10:45a-12:45p,Syed Kumail Abbas Rizvi
GSL 102 SEM 1,,Chinese Language for Beginners (HSK Level 1),16W,4,TTh 2:00p-3:50p,Hui Qi
GSL 102 SEM 2,,Chinese Language for Beginners (HSK Level 1),16W,4,TTh 4:00p-5:50p,Sikandar Ahmed Shah
GSL 202 LEC 1,,Writing from the Trial,16W,4,MW 11:00a-12:50p,Sarah Humayun
GSS 264 LEC 1,,"Master Narratives: Minding Gender and Media
Gaps",16W,4,TTh 12:00p-1:50p,Maria Amir
GSS 302 LEC 1,SOC 363/POL 367,Feminist Theory,16W,4,TTh 4:00p-5:50p,Maria Amir
HIST 122 LEC 1,,East Asian History,16W,4,TTh 11:00a-12:50p,Hassan Haider Karrar
HIST 124 LEC 1,,The World Since 1453,16W,4,MW 4:00p-5:50p,Ameem Lutfi
HIST 2203 LEC 1,POL 267,Making of Modern Afghanistan,16W,4,MW 4:00p-5:50p,Jahanzeb Baloch
HIST 2322 LEC 1,,A Brief history of Evil,16W,4,TTh 11:00a-12:50p,Muhammad Ali Raza
HIST 2324 LEC 1,SOC 239,"Conceptual Understanding of Borders and
Borderlands Studies",16W,4,MW 2:00p-3:50p,Ilyas Ahmad Chattha
HIST 314 LEC 1,,19th Century Sikh Wall Paintings in Punjab,16W,4,MW 2:00p-3:50p,Nadhra Shahbaz Naeem Khan
HIST 3202 LEC 1,,Civil War in the 20th Century,16W,4,TTh 2:00p-3:50p,Ilyas Ahmad Chattha
HIST 329 LEC 1,,The Cold War,16W,4,TTh 1:30p-3:20p,Hassan Haider Karrar
HIST 3310 LEC 1,POL 334,"The Atomic Age: Control, Confrontation, Disaster",16W,4,MW 12:00p-1:50p,Waqar Zaidi
HIST 427 LEC 1,,"Walking in the City: Mapping Everyday Life in
Lahore",16W,4,WF 4:00p-5:50p,Ali Usman Qasmi
HMI 6202 LEC 1,,Healthcare Operations Management,MS1,3,FSSu 8:30a-10:30a,Hassan Rauf Chaudhry
LANG 1202 LEC 1,,Arabic for Quran,16W,4,WF 2:30p-4:20p,Hafiz Abdul Qadeer
LANG 122 LEC 1,,Introduction to Balochi Language,16W,4,TTh 10:00a-11:50a,Jahanzeb Baloch
LANG 123 LEC 1,,Introduction to Punjabi Language,16W,4,TTh 4:00p-5:50p,Zahid Hussain
LANG 124 LEC 1,,Introduction to Arabic Language,16W,4,WF 4:30p-6:20p,Hafiz Abdul Qadeer
LANG 127 LEC 1,,Introduction to Persian Language,16W,4,TTh 12:00p-1:50p,Muhammad Iftikhar
LANG 128 LEC 1,,Sindhi for Non-Sindhi Speakers,16W,4,MW 4:00p-5:50p,Ashok Kumar Khatri
LANG 129 LEC 1,,Pashto for Non-Native Speakers,16W,4,MW 10:00a-11:50a,Imad .
LANG 2203 LEC 1,,Pashto: Intermediate Proficiency,16W,4,TTh 10:00a-11:50a,Imad .
LANG 2204 LEC 1,,The Art of Reading and Writing Punjabi,16W,4,MW 4:00p-5:50p,Zahid Hussain
LANG 2205 LEC 1,,Sindhi: Intermediate Proficiency,16W,4,TTh 4:00p-5:50p,Ashok Kumar Khatri
LANG 2206 LEC 1,,"Contemporary Persian for Social and Professional
Use",16W,4,TTh 2:30p-4:20p,Muhammad Iftikhar
LANG 2207 LEC 1,,Enhancing Urdu Reading and Writing Skills,16W,4,TTh 2:00p-3:50p,
LAW 102 LEC 1,,Introduction to Pakistan Legal System,16W,4,TTh 4:00p-5:50p,Summaiya Zaidi
LAW 102 LEC 2,,Introduction to Pakistan Legal System,16W,4,MW 2:00p-3:50p,Marva Khan
LAW 102 LEC 3,,Introduction to Pakistan Legal System,16W,4,MW 4:00p-5:50p,
LAW 220 LEC 1,,Contracts,16W,4,TTh 1:00p-2:50p,Sheharyar Sikander Hamid
LAW 220 LEC 2,,Contracts,16W,4,MW 11:30a-1:20p,Syeda Zehra Zaidi
LAW 222 LEC 1,,Torts,16W,4,MW 2:00p-3:50p,Syeda Zehra Zaidi
LAW 222 LEC 2,,Torts,16W,4,MW 3:30p-5:20p,Ahmed Hasan Khan
LAW 240 LEC 1,,Criminal Law,16W,4,MW 10:00a-11:50a,Angbeen Atif Mirza
LAW 240 LEC 2,,Criminal Law,16W,4,TTh 4:30p-6:20p,Hammad Saeed
LAW 280 LEC 1,,"Legal Practice I: Legal Writing and Research
Methods",16W,4,TTh 2:00p-3:50p,Adnan Sattar
LAW 280 LEC 2,,"Legal Practice I: Legal Writing and Research
Methods",16W,4,TTh 4:00p-5:50p,Maria Farooq
LAW 303 LEC 1,,Advanced Writing from the Trial,16W,4,TTh 12:00p-1:50p,Sarah Humayun
LAW 306 LEC 1,,"International Relations and International Law:
Chinese Perspectives",16W,4,MW 12:00p-1:50p,Syed Hassan Raza
LAW 3203 LEC 1,,"Introduction to Legal Aspects of Merger and
Acquisition law in Pakistan",16W,4,MW 8:00a-9:50a,Ali Awais
LAW 338 LEC 1,,"Constitutional and Legal System of the United
Kingdom",16W,4,WF 12:00p-1:50p,
LAW 352 LEC 1,,Public International Law,16W,4,MW 10:00a-11:50a,Sikandar Ahmed Shah
LAW 352 LEC 2,,Public International Law,16W,4,MW 2:00p-3:50p,Madiha Talat
LAW 353 LEC 1,,Human Rights,16W,4,TTh 4:00p-5:50p,Adnan Sattar
LAW 426 LEC 1,,Marxist Theories of Law,16W,4,TTh 12:00p-1:50p,Aisha Ahmad
LAW 427 LEC 1,,"Crime, Law and Finance: Wonders of White Color
Crime in Pakistan!",16W,4,MW 12:00p-1:50p,Faiza .
LAW 4304 LEC 1,,Parliamentary Power Play,16W,4,MW 10:00a-11:50a,Marva Khan
LAW 4305 SEM 1,,The Jurisprudence of Extractivism,16W,4,TTh 4:00p-5:50p,Asad Farooq
LAW 4306 LEC 1,,"Judicial Review Of Public Actions: Writ Jurisdiction
In Pakistan",16W,4,WF 8:00a-9:50a,Zaki Rahman
LAW 4505 SEM 1,,"Business and Human Rights: A Critical Legal
Perspective from the South",16W,4,TTh 12:00p-1:50p,Muhammad Azeem
LAW 471 LEC 1,,Civil Procedure,16W,4,WF 3:00p-4:50p,Muhammad Umar Ali
LAW 471 LEC 2,,Civil Procedure,16W,4,WF 4:00p-5:50p,Fahad Malik
LAW 472 LEC 1,,Criminal Procedure,16W,4,WF 4:00p-5:50p,Haider Rasul Mirza
LAW 4812 LEC 1,,Legal Practice II: Legal Instruments,16W,4,TTh 4:00p-5:50p,Muhammad Umar Ali
LAW 4812 LEC 2,,Legal Practice II: Legal Instruments,16W,4,TTh 2:00p-3:50p,Summaiya Zaidi
LAW 4812 LEC 3,,Legal Practice II: Legal Instruments,16W,4,TTh 4:00p-5:50p,
LAW 486 LEC 1,,Advanced Legal Research,16W,4,TTh 8:00a-9:50a,
LAW 4924 LEC 1,,Prison Paralegal Clinic,16W,4,TTh 10:00a-11:50a,Angbeen Atif Mirza
MATH 100 LEC 1,,Pre-Calculus,16W,3,MW 12:30p-1:45p,
MATH 100 LEC 2,,Pre-Calculus,16W,3,TTh 8:00a-9:15a,
MATH 101 LEC 1,,Calculus I,16W,3,MW 12:30p-1:45p,Haniya Azam
MATH 101 LEC 2,,Calculus I,16W,3,TTh 8:00a-9:15a,
MATH 101 LEC 3,,Calculus I,16W,3,MW 2:00p-3:15p,
MATH 101 LEC 4,,Calculus I,16W,3,TTh 10:30a-11:45a,
MATH 101 LEC 5,,Calculus I,16W,3,MW 5:00p-6:15p,
MATH 101 LEC 6,,Calculus I,16W,3,MW 3:30p-4:45p,
MATH 101H LEC 1,,Calculus I (Honours),16W,3,TTh 10:30a-11:45a,Waqas Ali Azhar
MATH 102 LEC 1,,Calculus II,16W,3,MW 4:30p-5:45p,
MATH 102 LEC 2,,Calculus II,16W,3,TTh 11:30a-12:45p,Masood Hussain Shah
MATH 120 LEC 1,,Linear Algebra with Differential Equations,16W,3,MW 5:00p-6:15p,Imran Naeem
MATH 120 LEC 2,,Linear Algebra with Differential Equations,16W,3,TTh 8:00a-9:15a,
MATH 204 LEC 1,,Introduction to Formal Mathematics,16W,3,MW 1:30p-2:45p,Shaheen Nazir
MATH 210 LEC 1,,Introduction to Differential Equations,16W,3,TTh 5:00p-6:15p,Ali Ashher Zaidi
MATH 222 LEC 1,,Linear Algebra II,16W,3,TTh 12:30p-1:45p,Haniya Azam
MATH 230 LEC 1,,Probability,16W,3,MW 11:30a-12:45p,Reza Abdolmaleki
MATH 300 LEC 1,,Complex Variables,16W,3,MW 5:00p-6:15p,Shaheen Nazir
MATH 309 LEC 1,,Introduction to Analysis II,16W,3,MW 3:00p-4:15p,Waqas Ali Azhar
MATH 341 LEC 1,MATH 547,Operations Research I,16W,3,MW 8:00a-9:15a,Kamran Rashid
MATH 414 LEC 1,MATH 514/PHY 519,Symmetry Methods for Differential Equations,16W,3,MW 11:30a-12:45p,Imran Naeem
MATH 4418 LEC 1,MATH 543,Numerical Linear Algebra,16W,3,MW 1:00p-2:15p,Reza Abdolmaleki
MATH 521 LEC 1,,Advanced Algebra,16W,3,TTh 10:00a-11:15a,Imran Anwar
MATH 5300 LEC 1,,Probability and Statistical Analysis,16W,3,TTh 1:00p-2:15p,Sultan Sial
MECO 111 LEC 1,,Principles of Microeconomics,16W,3,MW 2:00p-3:15p,Sameen Zafar
MECO 111 LEC 2,,Principles of Microeconomics,16W,3,MW 3:30p-4:45p,Sameen Zafar
MECO 111 LEC 3,,Principles of Microeconomics,16W,3,TTh 9:30a-10:45a,Ummad Mazhar
MECO 111 LEC 4,,Principles of Microeconomics,16W,3,TTh 11:00a-12:15p,Ummad Mazhar
MECO 111 LEC 5,,Principles of Microeconomics,16W,3,TTh 2:00p-3:15p,Rabia Khan
MECO 111 LEC 6,,Principles of Microeconomics,16W,3,MW 3:30p-4:45p,
MECO 111 LEC 7,,Principles of Microeconomics,16W,3,MW 5:00p-6:15p,
MECO 2201 LEC 1,,Introduction to Business Economics,SDSB-Foundation,1.5,MThFSSu 4:30p-6:40p,Ummad Mazhar
MECO 2201 LEC 2,,Introduction to Business Economics,SDSB-Foundation,1.5,MThFSSu 8:30a-10:40a,
MECO 5201 LEC 1,,Business Economics,MS1,1.5,FSSu 8:30a-10:30a,Ummad Mazhar
MECO 5201 LEC 2,,Business Economics,MS1,1.5,FSSu 4:15p-6:15p,Misbah Tanveer Chaudhry
MECO 5201 LEC 3,,Business Economics,MS1,1.5,FSSu 10:45a-12:45p,Misbah Tanveer Chaudhry
MECO 7301 LEC 1,,Economic Theory,16W,3,T 3:00p-6:00p,Misbah Tanveer Chaudhry
MGMT 142 LEC 1,,Principles of Management,16W,3,TTh 2:00p-3:15p,Mujeeb Rashid
MGMT 142 LEC 2,,Principles of Management,16W,3,TTh 9:30a-10:45a,Fareed Ud Din Farooq Qureshi
MGMT 142 LEC 3,,Principles of Management,16W,3,TTh 11:00a-12:15p,Fareed Ud Din Farooq Qureshi
MGMT 142 LEC 4,,Principles of Management,16W,3,TTh 9:30a-10:45a,Afaf Khalid
MGMT 142 LEC 5,,Principles of Management,16W,3,MW 11:00a-12:15p,Mohsin Bashir
MGMT 142 LEC 6,,Principles of Management,16W,3,MW 2:00p-3:15p,
MGMT 142 LEC 7,,Principles of Management,16W,3,TTh 2:00p-3:15p,
MGMT 212 LEC 1,,Business Communication,16W,3,TTh 11:00a-12:15p,Aneka Fahima Sufi
MGMT 212 LEC 2,,Business Communication,16W,3,TTh 2:00p-3:15p,Aneka Fahima Sufi
MGMT 212 LEC 3,,Business Communication,16W,3,TTh 9:30a-10:45a,Mehr Farhan Cheema
MGMT 212 LEC 4,,Business Communication,16W,3,MW 11:00a-12:15p,Shezeen Salim Hemani
MGMT 212 LEC 5,,Business Communication,16W,3,MW 12:30p-1:45p,Shezeen Salim Hemani
MGMT 242 LEC 1,,Business Ethics and Corporate Social Responsibility,16W,3,TTh 11:00a-12:15p,Razi Allah Lone
MGMT 242 LEC 2,,Business Ethics and Corporate Social Responsibility,16W,3,TTh 2:00p-3:15p,Razi Allah Lone
MGMT 242 LEC 3,,Business Ethics and Corporate Social Responsibility,16W,3,TTh 3:30p-4:45p,Razi Allah Lone
MGMT 243 LEC 1,,Public Administration,16W,3,TTh 11:00a-12:15p,Mohsin Bashir
MGMT 247 LEC 1,,Public Financial Management,16W,3,TTh 3:30p-4:45p,Sajid Siddique
MGMT 252 LEC 1,,Logic and Critical Thinking,16W,3,MW 2:00p-3:15p,Muhammad Shabbir Ahsen
MGMT 260 LEC 1,,Business Law,16W,3,MW 8:00a-9:15a,Ali Sultan
MGMT 260 LEC 2,,Business Law,16W,3,MW 9:30a-10:45a,Ali Sultan
MGMT 260 LEC 3,,Business Law,16W,3,MW 11:00a-12:15p,Ali Sultan
MGMT 2601 LEC 1,,Introduction to Management,SDSB-Foundation,1.5,MThFSSu 11:00a-1:10p,Faiza Ali
MGMT 2601 LEC 2,,Introduction to Management,SDSB-Foundation,1.5,MThFSSu 2:00p-4:10p,
MGMT 261 LEC 1,,Introduction to Policy Analysis,16W,3,TTh 9:30a-10:45a,Ghazal Mir Zulfiqar
MGMT 262 LEC 1,,Governance System of Pakistan,16W,3,MW 5:00p-6:15p,
MGMT 263 LEC 1,,Contemporary Social Policy Issues in Pakistan,16W,3,TTh 12:30p-1:45p,Muhammad Ahsan Rana
MGMT 283 LEC 1,,Fundamentals of Hospitality Management,16W,3,MW 12:30p-1:45p,Shireen Waheed
MGMT 343 LEC 1,CS 363,E-Government,16W,3,TTh 9:30a-10:45a,Shafay Shamail
MGMT 348 LEC 1,,Internet Governance and Technology Policy,16W,3,MW 5:00p-6:15p,
MGMT 386 LEC 1,,"Business, Government, and Society",16W,3,TTh 2:00p-3:15p,Ghazal Mir Zulfiqar
MGMT 400 LEC 1,,Strategic Business Management,16W,3,TTh 3:30p-4:45p,Adnan Zahid
MGMT 400 LEC 2,,Strategic Business Management,16W,3,MW 3:30p-4:45p,Adnan Zahid
MGMT 400 LEC 3,,Strategic Business Management,16W,3,TTh 9:30a-10:45a,Salma Zaman
MGMT 481 LEC 1,,Entrepreneurship,16W,3,TTh 5:00p-6:15p,Sahar Arif
MGMT 7501 LEC 1,,Philosophy of Administrative Sciences,10-WKS,2,W 2:30p-5:30p,Anjum Fayyaz
MGMT 8102 LEC 1,,Seminar in Strategic Management,16W,3,W 9:00a-12:00p,Salma Zaman
MKTG 201 LEC 1,,Principles of Marketing,16W,3,TTh 12:30p-1:45p,Muhammad Asim
MKTG 201 LEC 2,,Principles of Marketing,16W,3,TTh 9:30a-10:45a,Mahira Ilyas
MKTG 201 LEC 3,,Principles of Marketing,16W,3,TTh 11:00a-12:15p,Mahira Ilyas
MKTG 201 LEC 4,,Principles of Marketing,16W,3,MW 3:30p-4:45p,Khudejah Iqbal Ali
MKTG 2401 LEC 1,,Introduction to Marketing,SDSB-Foundation,1.5,MThFSSu 8:30a-10:40a,Saima Mujtaba Rana
MKTG 2401 LEC 2,,Introduction to Marketing,SDSB-Foundation,1.5,MThFSSu 4:30p-6:40p,
MKTG 302 LEC 1,,Using New Media Technologies in Marketing,16W,3,TTh 3:30p-4:45p,
MKTG 324 LEC 1,,Integrated Marketing Communications,16W,3,MW 3:30p-4:45p,
MKTG 332 LEC 1,,Consumer Behaviour,16W,3,TTh 9:30a-10:45a,Saima Mujtaba Rana
MKTG 343 LEC 1,,Marketing Models,16W,3,TTh 3:30p-4:45p,Muhammad Asim
MKTG 345 LEC 1,,Data Analytics for New Product Development,16W,3,MW 3:30p-4:45p,Muhammad Asim
MKTG 392 LEC 1,,Brand Management,16W,3,MW 2:00p-3:15p,Moeen Naseer Butt
MKTG 5401 LEC 1,,Marketing Management,MS1,3,FSSu 10:45a-12:45p,Usman Iqbal Bhatty
MKTG 5401 LEC 2,,Marketing Management,MS1,3,FSSu 8:30a-10:30a,Aaminah Zaman Malik
MKTG 5401 LEC 3,,Marketing Management,MS1,3,FSSu 4:15p-6:15p,Aaminah Zaman Malik
ORSC 201 LEC 1,,Organizational Behaviour,16W,3,MW 9:30a-10:45a,Faiza Ali
ORSC 201 LEC 2,,Organizational Behaviour,16W,3,MW 11:00a-12:15p,Faiza Ali
ORSC 201 LEC 3,,Organizational Behaviour,16W,3,TTh 11:00a-12:15p,Ghulam Ali Arain
ORSC 201 LEC 4,,Organizational Behaviour,16W,3,TTh 12:30p-1:45p,Ghulam Ali Arain
ORSC 7302 LEC 1,,Applications of Psychology in Management,16W,3,T 9:30a-12:30p,Jawad Sarwar Naqvi Syed
ORSC 8402 LEC 1,,Seminar in Human Resource Management,16W,3,Th 9:30a-12:30p,Muhammad Abdur Rahman Malik
PHIL 132 LEC 1,,Introduction to Logic,16W,4,TTh 8:00a-9:50a,Muhammad Shabbir Ahsen
PHIL 203 LEC 1,,Introduction to Philosophy II,16W,4,TTh 12:00p-1:50p,Syed Sikander Gilani
PHIL 204 LEC 1,,Contemporary Moral Problems,16W,4,MW 4:30p-6:20p,Syed Sikander Gilani
PHY 101 LEC 1,,Mechanics,16W,4,MW 2:00p-3:15p,Adam Zaman Chaudhry
PHY 101 LEC 2,,Mechanics,16W,4,TTh 2:30p-3:45p,Adam Zaman Chaudhry
PHY 101 RAC 1,,Mechanics,16W,4,F 9:00a-9:50a,Adam Zaman Chaudhry
PHY 101 RAC 2,,Mechanics,16W,4,M 8:00a-8:50a,Adam Zaman Chaudhry
PHY 101 RAC 3,,Mechanics,16W,4,F 8:00a-8:50a,Adam Zaman Chaudhry
PHY 101 RAC 4,,Mechanics,16W,4,M 9:00a-9:50a,Adam Zaman Chaudhry
PHY 101 RAC 5,,Mechanics,16W,4,F 4:00p-4:50p,Adam Zaman Chaudhry
PHY 101 RAC 6,,Mechanics,16W,4,F 2:00p-2:50p,Adam Zaman Chaudhry
PHY 101 RAC 7,,Mechanics,16W,4,F 3:00p-3:50p,Adam Zaman Chaudhry
PHY 101 RAC 8,,Mechanics,16W,4,F 5:00p-5:50p,Adam Zaman Chaudhry
PHY 204 LEC 1,,Electricity and Magnetism,16W,3,TTh 4:30p-5:45p,Rizwan Khalid
PHY 212 LEC 1,,Quantum Mechanics I,16W,3,MW 4:30p-5:45p,Syed Moeez Hassan
PHY 223 LEC 1,,"Mathematical Methods in Physics and Engineering
I",16W,3,MW 8:00a-9:15a,Ammar Ahmed Khan
PHY 300 LAB 1,PHY 500,Experimental Physics Lab II,16W,3,W 9:00a-5:50p,Muhammad Hamza Humayun
PHY 301 LEC 1,,Classical Mechanics,16W,3,TTh 12:00p-1:15p,Tajdar Mufti
PHY 313 LEC 1,PHY 510,Statistical Mechanics,16W,4,TTh 8:00a-9:50a,
PHY 316 LEC 1,PHY 5116/BIO 438,Introduction to Computational Neuroscience,16W,3,TTh 8:00a-9:15a,
PHY 404 LEC 1,PHY 504,Relativistic Electrodynamics,16W,3,TTh 1:30p-2:45p,Syed Moeez Hassan
PHY 501 LAB 1,EE 502,Electrodynamics,16W,3,M 9:30a-12:20p,Rizwan Khalid
PHY 501 LEC 1,EE 502,Electrodynamics,16W,3,TTh 10:00a-10:50a,Rizwan Khalid
PHY 5114 LEC 1,,Quantum Algorithms,16W,3,TTh 9:30a-10:45a,Muhammad Faryad
PHY 512 LEC 1,,Advanced Quantum Mechanics,16W,3,TTh 11:00a-12:15p,Muhammad Faryad
PHY 633 LEC 1,,Magnetism: Theory and Experiment,16W,3,TTh 3:30p-4:45p,Muhammad Sabieh Anwar
POL 100 LEC 1,,Introduction to Political Science,16W,4,TTh 10:00a-11:50a,Rida Ashfaq
POL 100 LEC 2,,Introduction to Political Science,16W,4,TTh 2:00p-3:50p,Rida Ashfaq
POL 100 LEC 3,,Introduction to Political Science,16W,4,MW 10:00a-11:50a,
POL 132 LEC 1,,Introduction to Politics in Developing Countries,16W,4,MW 2:00p-3:50p,
POL 203 LEC 1,,Introduction to Political Theory,16W,4,MW 4:00p-5:50p,Adeel Hamza
POL 203 LEC 2,,Introduction to Political Theory,16W,4,TTh 4:00p-5:50p,Muhammad Shabbir Ahsen
POL 2214 LEC 1,,"Decolonizing Democracy: Lessons from the Global
South",16W,4,TTh 12:00p-1:50p,Farhat Haq
POL 266 LEC 1,,Women and Political Theory,16W,4,TTh 4:00p-5:50p,Adeel Hamza
POL 3113 LEC 1,,Political Islam: Ideology and Politics,16W,4,MW 4:00p-5:50p,Taimur Rahman
POL 320 LEC 1,,Comparative Politics,16W,4,TTh 10:00a-11:50a,Asma ul-Husna Faiz
POL 320 LEC 2,,Comparative Politics,16W,4,TTh 2:00p-3:50p,Asma ul-Husna Faiz
POL 3202 LEC 1,,Qualitative Research Methods in Political Science,16W,4,MW 2:00p-3:50p,Hafiz Muhammad Salman Rafi
POL 324 LEC 1,,Marxism and the Modern World,16W,4,TTh 4:00p-5:50p,Taimur Rahman
POL 3302 LEC 1,,Theories of IR,16W,4,TTh 12:00p-1:50p,Syed Rashid Munir
POL 366 LEC 1,,Terrorism as Political Action,16W,4,TTh 2:00p-3:50p,Syed Rashid Munir
POL 4112 LEC 1,,Political Leadership,16W,4,MW 2:00p-3:50p,Mohammad Waseem
POL 412 LEC 1,,Diplomacy in International Relations,16W,4,TTh 10:00a-11:50a,Shahid Malik
PSY 100 LEC 1,,Introduction to Psychology and Human Behavior,16W,4,TTh 4:00p-5:50p,Yasser Hashmi
PSY 100 LEC 2,,Introduction to Psychology and Human Behavior,16W,4,TTh 4:00p-5:50p,Natasha Sohail Barlas
PSY 100 LEC 3,,Introduction to Psychology and Human Behavior,16W,4,MW 2:00p-3:50p,Arman Ashraf
PSY 212 LEC 1,,Theories of Learning,16W,4,MW 12:00p-1:50p,Imran Rashid
PSY 214 LEC 1,,Perception,16W,4,MW 4:00p-5:50p,Yasser Hashmi
PSY 220 LEC 1,,Psychopathology,16W,4,MW 2:00p-3:50p,Tahira Haider
PSY 300 LEC 1,,Social Psychology,16W,4,TTh 12:00p-1:50p,Imran Rashid
PSY 321 LEC 1,,Life Span Development,16W,4,TTh 2:00p-3:50p,Natasha Sohail Barlas
REL 200 LEC 1,,What is Religion,16W,4,MW 2:00p-3:50p,Essam Fahim
REL 224 LEC 1,,"Introduction to Quranic and Modern Standard
Arabic",16W,4,TTh 4:00p-5:50p,Asif Iftikhar
REL 235 LEC 1,,"Religion, Conflict, and Peace Building",16W,4,MW 2:00p-3:50p,Aurangzeb Haneef
REL 314 LEC 1,HIST 336,Islamic Historiography: An Introduction,16W,4,MW 10:00a-11:50a,Baqar Hassan Syed
REL 315 LEC 1,,Religion and Existentialism,16W,4,TTh 2:00p-3:50p,Mian Muhammad Nauman Faizi
REL 332 LEC 1,,"What is ""Islamic"" history?",16W,4,MW 10:00a-11:50a,Irfan Moeen Khan
REL 334 LEC 1,,"Experience and Interpretation in Muslim Feminist
Scriptural Discourse",16W,4,TTh 10:00a-11:50a,
SCI 503 LEC 1,,STEM Teaching in the AI Era,16W,3,MW 12:00p-1:15p,"Muhammad Hamad Alizai
Anusheh Attique"
SCRM 6101 LEC 1,,Operations and Supply Chain Strategy,MS1,3,FSSu 6:30p-8:30p,Ahsan Umar
SOC 100 LEC 1,,Introduction to Sociology,16W,4,MW 4:00p-5:50p,Amen Jaffer
SOC 100 LEC 2,,Introduction to Sociology,16W,4,MW 12:00p-1:50p,Tania Saeed
SOC 253 LEC 1,REL 233,Scientific Imagination and the Religious Mind,16W,4,TTh 12:00p-1:50p,Basit Bilal Koshul
SOC 265 LEC 1,GSS 210,Introduction to Gender and Sexuality Studies,16W,4,MW 12:00p-1:50p,Nida Yasmeen Kirmani
SOC 310 LEC 1,,Classical Sociological Theory,16W,4,TTh 12:00p-1:50p,Umair Javed
SOC 320 LEC 1,,Quantitative Research Methods,16W,4,MW 10:00a-11:50a,
SOC 334 LEC 1,,The Informal Economy,16W,4,MW 12:00p-1:50p,Umair Javed
SOC 353 LEC 1,,Social Science and the Post-Secular Age,16W,4,TTh 4:00p-5:50p,Basit Bilal Koshul
SS 100 LEC 1,,Writing and Communication,16W,4,TTh 8:00a-9:50a,
SS 100 LEC 2,,Writing and Communication,16W,4,TTh 9:30a-11:20a,
SS 100 LEC 3,,Writing and Communication,16W,4,TTh 1:30p-3:20p,
SS 100 LEC 4,,Writing and Communication,16W,4,MW 9:30a-11:20a,
SS 100 LEC 5,,Writing and Communication,16W,4,TTh 1:00p-2:50p,
SS 100 LEC 6,,Writing and Communication,16W,4,MW 2:00p-3:50p,
SS 100 LEC 7,,Writing and Communication,16W,4,TTh 4:00p-5:50p,
SS 100 LEC 8,,Writing and Communication,16W,4,MW 10:00a-11:50a,
SS 100 LEC 9,,Writing and Communication,16W,4,TTh 12:00p-1:50p,
SS 100 LEC 10,,Writing and Communication,16W,4,TTh 4:00p-5:50p,
SS 100 LEC 11,,Writing and Communication,16W,4,MW 11:00a-12:50p,
SS 100 LEC 12,,Writing and Communication,16W,4,MW 12:00p-1:50p,
SS 100 LEC 13,,Writing and Communication,16W,4,MW 8:00a-9:50a,
SS 100 LEC 14,,Writing and Communication,16W,4,TTh 10:00a-11:50a,
SS 100 LEC 15,,Writing and Communication,16W,4,MW 9:00a-10:50a,
SS 100 LEC 16,,Writing and Communication,16W,4,TTh 2:00p-3:50p,
SS 100 LEC 17,,Writing and Communication,16W,4,TTh 3:30p-5:20p,
SS 100 LEC 18,,Writing and Communication,16W,4,TTh 9:00a-10:50a,
SS 100 LEC 19,,Writing and Communication,16W,4,MW 2:00p-3:50p,
SS 100 LEC 20,,Writing and Communication,16W,4,MW 2:00p-3:50p,
SS 100 LEC 21,,Writing and Communication,16W,4,TTh 11:30a-1:20p,
SS 100 LEC 22,,Writing and Communication,16W,4,MW 12:00p-1:50p,
SS 100 LEC 23,,Writing and Communication,16W,4,TTh 11:00a-12:50p,
SS 100A LEC 1,,Introduction to Writing,16W,2,TTh 4:00p-4:50p,
SS 100A LEC 2,,Introduction to Writing,16W,2,MW 8:00a-8:50a,
SS 100A LEC 3,,Introduction to Writing,16W,2,MW 1:00p-1:50p,
SS 100A LEC 4,,Introduction to Writing,16W,2,TTh 11:00a-11:50a,
SS 100A LEC 5,,Introduction to Writing,16W,2,TTh 10:00a-10:50a,
SS 101 LEC 1,,Islamic Studies,16W,2,F 8:00a-9:50a,Aurangzeb Haneef
SS 101 LEC 2,,Islamic Studies,16W,2,F 4:00p-5:50p,Essam Fahim
SS 101 LEC 3,,Islamic Studies,16W,2,T 2:00p-3:50p,Baqar Hassan Syed
SS 101 LEC 4,,Islamic Studies,16W,2,Th 12:00p-1:50p,Essam Fahim
SS 101 LEC 5,,Islamic Studies,16W,2,F 2:00p-3:50p,Asif Iftikhar
SS 102 LEC 1,,Pakistan Studies: Culture and Heritage,16W,2,F 4:00p-5:50p,
SS 102 LEC 2,,Pakistan Studies: Culture and Heritage,16W,2,F 8:00a-9:50a,
SS 102 LEC 3,,Pakistan Studies: Culture and Heritage,16W,2,T 8:00a-9:50a,
SS 102 LEC 4,,Pakistan Studies: Culture and Heritage,16W,2,F 2:00p-3:50p,
SS 102 LEC 5,,Pakistan Studies: Culture and Heritage,16W,2,W 2:00p-3:50p,
SS 102 LEC 6,,Pakistan Studies: Culture and Heritage,16W,2,M 8:00a-9:50a,
SS 102 LEC 7,,Pakistan Studies: Culture and Heritage,16W,2,W 8:00a-9:50a,
SS 102 LEC 8,,Pakistan Studies: Culture and Heritage,16W,2,M 4:00p-5:50p,
SS 102 LEC 9,,Pakistan Studies: Culture and Heritage,16W,2,F 11:00a-12:50p,
